,q0,q1,infidelity
161,5,27,191.26084355137186
162,5,28,46.53872328913344
163,5,29,21.379271329492468
164,5,30,4.88628817131076
165,6,7,32.492070304137584
166,6,8,45.387300729313736
167,6,9,45.34218643984733
168,6,10,16.842597002758588
169,6,11,30.848571758222974
170,6,12,37.25771470928008
171,6,13,92.38845304156418
172,6,14,29.09797553042548
173,6,15,22.875820859522555
174,6,16,17.074653505175785
175,6,17,27.310994409570633
176,6,18,21.557579116938676
177,6,19,32.92810690003978
178,6,20,84.30460422629294
179,6,21,18.15395115858154
180,6,22,16.05885535734375
181,6,23,25.53451425477138
182,6,24,26.673267946403236
183,6,25,33.00471094365709
184,6,26,50.4972431471884
185,6,27,43.533574248024735
186,6,28,26.692247955523165
187,6,29,24.218503558444127
188,6,30,11.798347577999246
189,7,8,30.417051238801342
190,7,9,28.06646372492949
191,7,10,19.776641798940897
192,7,11,117.29089668644166
193,7,12,28.02095037713892
194,7,13,21.088945104011934
195,7,14,24.71540532633543
196,7,15,34.65020873122726
197,7,16,42.67538945525118
198,7,17,3.0538659996925954
199,7,18,28.131464131837536
200,7,19,25.786910575920086
201,7,20,12.822043489209012
202,7,21,29.99182791362354
203,7,22,39.969787852
204,7,23,41.838624343927265
205,7,24,45.86584378616587
206,7,25,29.117820592018397
207,7,26,87.25591684455969
208,7,27,21.518758290981488
209,7,28,13.608431270220045
210,7,29,19.106306861542688
211,7,30,14.957645088905513
212,8,9,29.007137992073105
213,8,10,16.164217317719
214,8,11,35.53607107148693
215,8,12,67.37365649173822
216,8,13,37.05755138457945
217,8,14,19.022933413400665
218,8,15,46.01867638070911
219,8,16,48.99859400961826
220,8,17,51.03438542778838
221,8,18,39.90851964466691
222,8,19,134.33731366605417
223,8,20,33.65800271235564
224,8,21,16.379303889345607
225,8,22,38.88704227897999
226,8,23,22.09566890449821
227,8,24,48.51832825959135
228,8,25,22.731102473153577
229,8,26,8.439441715225593
230,8,27,18.06211282653458
231,8,28,18.371635666808437
232,8,29,26.595629861518866
233,8,30,11.459811688259158
234,9,10,78.34087015827774
235,9,11,25.082756392919016
236,9,12,37.47291940923381
237,9,13,37.085533207976695
238,9,14,32.64614676246502
239,9,15,24.83057780444886
